precinct,total_complaints_17,total_complaints_17_per_capita,total_complaints_18,total_complaints_18_per_capita,total_complaints_19,total_complaints_19_per_capita,avg_population,avg_complaints_17_19,avg_median_income,avg_unemployment_rate,avg_white_frac,avg_black_frac,avg_native_frac,avg_asian_frac,avg_single_frac,avg_liveswspouse_frac,avg_liveswunmarried_frac,avg_bachelors_frac,avg_blacks_1990
106.0,2766,2.2590472145768166,2889,2.3595037609950915,2928,2.3913558366886907,122441,2.3366356040868665,77204.0,0.0597575408361897,0.4445188227438689,0.1175923038903822,0.004119801527102,0.2237218375281233,0.0743100717213295,0.4144796074593159,0.0377518309130868,0.1625432893131921,5792.666666666667
107.0,1914,1.266652107447041,1889,1.250107539690418,2194,1.451951266321216,151107,1.3229036378195582,70297.25,0.0740713610804517,0.3205141434296681,0.1704342958165582,0.0038150125367608,0.3563267778297705,0.0890242430621162,0.4283985113235726,0.0340235009951426,0.2399535651019291,8427.0
108.0,1441,1.2729681978798586,1430,1.2632508833922262,1420,1.254416961130742,113200,1.263545347467609,90726.25,0.0472657910094395,0.5430445325266345,0.0523088526981635,0.0038577013905578,0.2909889642006296,0.1774087930930886,0.4315464854245208,0.0856632186605887,0.302553330971556,3981.6666666666665
109.0,2547,1.0296983270939626,2357,0.9528853384218569,2448,0.9896747172069181,247354,0.9907527942409126,63813.5,0.0411953600836664,0.3850322404491157,0.0192386839445327,0.002691566035274,0.4612590154322837,0.1169712655645774,0.4754376411559154,0.0251842521480871,0.1848491783367378,1562.857142857143
110.0,2315,1.340987291031894,2333,1.351413974072315,2242,1.2987012987012987,172634,1.3303675212685027,54397.5,0.0410618019290575,0.2716851956137803,0.0562735977180367,0.0074497301720792,0.3043532204059469,0.0684421221662033,0.3373677805227763,0.050946289655779,0.1456225177497133,12887.5
111.0,742,0.637287320387182,700,0.6012144531954547,733,0.6295574202746691,116431,0.6226863979524353,85216.5,0.0493070506882105,0.4252460885946902,0.0730877625438503,0.0040896487854918,0.4084872938800515,0.1141899881440181,0.5004165987804191,0.0291667564849586,0.251538245551332,1469.0
112.0,915,0.8164540019630588,983,0.8771303649504774,989,0.8824841616846614,112070,0.8586895095327325,75754.0,0.039157321353372,0.5671699656060438,0.0346971997526558,0.0015166926218578,0.3018794172924851,0.2095035127016619,0.469878042121101,0.0466498557791492,0.3107056315207806,1053.0
113.0,3945,3.2838877235041455,3838,3.194819032397696,3735,3.1090800119868147,120132,3.1959289226295517,73639.0,0.1656947227863274,0.0694458569750842,0.760327130527569,0.002520631815711,0.0441648296268965,0.0894655565577215,0.2932534628770162,0.0278039509680962,0.1210800240181659,23552.0
114.0,3579,1.7650888215973093,3452,1.7024550467040827,3287,1.6210804572758746,202766,1.6962081085257552,77423.83333333333,0.0515488388890862,0.5760174722183972,0.0815636757749375,0.0028991038070842,0.19883583771096,0.1644246081688625,0.3810802234291481,0.0633193764482287,0.2804075112719228,1992.6666666666667
115.0,2749,1.6022054366578078,2730,1.5911316268009512,2593,1.511283629412039,171576,1.5682068976235992,59516.333333333336,0.0514352188955822,0.408195672655865,0.114145909067496,0.0063844327644859,0.1895682501540774,0.1150324604576932,0.3783405122027756,0.0434755246065508,0.1439887260035289,4061.5
120.0,4640,4.105904006795979,4642,4.107673793005804,4265,3.7740690924536318,113008,3.9958822974184716,69063.5,0.0423610149049392,0.6004606262567723,0.2249430555921428,0.0020339734639937,0.0602777192381654,0.1459795054972062,0.4383281935553826,0.0455227398946129,0.1993191630889937,5643.0
121.0,3030,2.5524817198503893,2782,2.343565724298278,2612,2.2003571789601373,118708,2.365468207702935,74938.66666666667,0.0446889376741098,0.5956671529939502,0.1999291771035572,0.0050827538997374,0.1136425005342734,0.0926534234997604,0.4609732021404653,0.038530000529953,0.1878147106909719,2796.6666666666665
122.0,2119,1.5246578693643782,2057,1.480047775970989,2029,1.4599012821804263,138982,1.488202309171931,79450.5,0.0549054090523053,0.7463085421124435,0.1025118134115239,0.0018105561343498,0.0957111500534638,0.1067240791327995,0.4939798638618895,0.03340502113235,0.19625495755057,2479.5
123.0,910,0.9282683205483924,976,0.995593275665089,1000,1.020075077525706,98032,0.981312224579729,97322.33333333331,0.034854782557358,0.920140232064922,0.0067885454946777,0.0020222922656495,0.044135812704991,0.0872918063172156,0.5617455108395691,0.0278259425088911,0.2263134501718514,386.3333333333333
