,precinct,avg_median_income,avg_unemployment_rate,avg_white_frac,avg_black_frac,avg_native_frac,avg_asian_frac,avg_single_frac,avg_liveswspouse_frac,avg_liveswunmarried_frac,avg_bachelors_frac,avg_blacks_1990,avg_population
129,69.0,70793.0,0.05120065437123882,0.05726666931101503,0.8598032604815359,0.001170124152155805,0.026902939193209314,0.10247349823321555,0.3027483313702395,0.03434105483575448,0.18534845277109133,22228.0,100844.0
131,120.0,69063.5,0.04236101490493925,0.6004606262567723,0.2249430555921428,0.002033973463993748,0.06027771923816549,0.1459795054972062,0.43832819355538266,0.04552273989461292,0.19931916308899372,5643.0,31040.0
132,121.0,74938.66666666667,0.04468893767410986,0.5956671529939502,0.19992917710355726,0.005082753899737416,0.1136425005342734,0.09265342349976047,0.46097320214046533,0.03853000052995307,0.18781471069097191,2796.6666666666665,45076.666666666664
135,100.0,69793.5,0.06081855653051236,0.6385740741290443,0.22090446706211042,0.003064878880231322,0.03683030815267498,0.14538553004112112,0.4024838897975087,0.05458220488950808,0.19319718219747506,2717.0,14297.0
136,68.0,75409.5,0.04985646731360466,0.6353869827462746,0.022308662076071278,0.002400787849848387,0.2536190761756854,0.1450370366058374,0.47970311406388577,0.03901260070130948,0.2571779331122836,535.0,56065.0
137,122.0,79450.5,0.054905409052305315,0.7463085421124435,0.10251181341152395,0.0018105561343498581,0.09571115005346388,0.1067240791327995,0.4939798638618895,0.03340502113235,0.19625495755057004,2479.5,41806.75
142,61.0,59638.5,0.05427742304934263,0.6960963965170529,0.04155164495968429,0.0017396201487859273,0.18333931061104902,0.14441212076220736,0.49030170114744187,0.031007512511455164,0.25478329088856055,1863.0,80947.0
144,101.0,55471.0,0.08526764923784849,0.40443990743708935,0.335699265983808,0.0013276337481580905,0.0399677014255822,0.10382769923028651,0.3493018672517169,0.043204272838429016,0.13903204863634797,26144.0,38452.5
153,60.0,32549.0,0.09753136382031566,0.5731848455071514,0.22126869745605415,0.0015722240419259745,0.07474615132656404,0.1760202645651562,0.3916127216436814,0.03664508865747256,0.20603432915602543,17864.0,45795.0
156,123.0,97322.33333333333,0.03485478255735803,0.920140232064922,0.006788545494677765,0.0020222922656495924,0.04413581270499107,0.08729180631721563,0.5617455108395691,0.02782594250889117,0.22631345017185142,386.3333333333333,36785.333333333336
166,112.0,75754.0,0.03915732135337203,0.5671699656060438,0.03469719975265585,0.0015166926218578678,0.30187941729248513,0.20950351270166193,0.469878042121101,0.04664985577914922,0.3107056315207806,1053.0,58270.5
176,103.0,60195.0,0.11313119647132028,0.11070154386831883,0.4442807378661817,0.0036772967573744765,0.16513644052703275,0.09056890003894286,0.31708583908677723,0.036683390963093185,0.15974443219631554,21583.5,32208.666666666668
177,102.0,72426.4,0.05845562102353992,0.3588576339190785,0.08350670984705373,0.007153532648401099,0.25410054118167175,0.08288589984614694,0.38240013507899845,0.04467435817905678,0.19022274633191572,2930.2,34732.0
181,81.0,50902.5,0.06327593296394848,0.1932218284147652,0.6196653794400548,0.0035425838571405445,0.02708875122861571,0.15501231600679313,0.20745796402178035,0.07169675156268537,0.19929761731022066,50462.5,81380.5
185,79.0,67795.0,0.057370766741419936,0.3126016682241373,0.5399404700100371,0.002751531512823175,0.053005918388537014,0.18003361623539665,0.24838662820858667,0.09449897283725177,0.3027704936723293,56504.0,57786.0
237,5.0,,,,,,,,,,,,0.0
